Name,Species,Class,Hlt,Atk,Int,Def,Spd,Total,R. Depth,Source,Trait Name,Item Name,Trait Description
Darkeye Gargoyle,Gargoyle,Chaos,30,13,23,23,18,107,75,"Kingdom of Heretics, Damarel, Astral Gallery",The Wicked End,Darkeye Teeth,"After this creature manually Casts a spell, it Casts 3 random Chaos spells."
Bloodfang Gargoyle,Gargoyle,Chaos,33,13,23,22,17,108,58,"Kingdom of Heretics, Damarel, Astral Gallery",War Magic,Bloodfang Teeth,"After your creatures Cast a Chaos spell, they gain 35% Attack. This trait does not stack."
Whitestar Gemling,Gemling,Sorcery,31,11,21,20,20,103,28,Aurum God Shop (Favor Rank 18),Distribution,Whitestar Shard,"At the start of battle, your creatures share a copy of their first Spell Gems with each other. This trait does not stack."
Nightvelvet Gemling,Gemling,Sorcery,28,11,21,21,21,102,28,Aurum God Shop (Favor Rank 8),Neodymium,Nightvelvet Shard,Your creatures' Spell Gems with the 'Magnetic' property act as if 3 more of those Spell Gems exist. This trait does not stack.
Rockmoss Gemling,Gemling,Sorcery,28,11,21,21,21,102,28,Aurum God Shop (Favor Rank 11),Obelisk,Rockmoss Shard,Your creatures' Ethereal Spell Gems have the same number of Charges that they'd have if they weren't Ethereal.
Crystaldune Gemling,Gemling,Sorcery,31,11,21,21,21,105,28,Aurum God Shop (Favor Rank 1),Oscillation,Crystaldune Shard,"Your creatures' Spell Gems are 70% more potent when they have an odd number of Charges, and are 70% less potent when they have an even number of Charges. This trait does not stack."
Stillfire Gemling,Gemling,Sorcery,31,11,21,21,21,105,28,Aurum God Shop (Favor Rank 14),Quality Over Quantity,Stillfire Shard,Your creatures' Spell Gems with the 'Singular' property have 100% more Charges if they only have one non-Ethereal Spell Gem equipped. This trait does not stack.
Eternaldew Gemling,Gemling,Sorcery,26,12,22,22,22,104,28,Aurum God Shop (Favor Rank 5),Tumble,Eternaldew Shard,"Your creatures' Spell Gems with the 'Cascading' property now consume 3 Charges when cast, and are 50% more potent. This trait does not stack."
Festering Ghoul,Ghoul,Death,32,27,7,14,27,107,75,"Path of the Damned, Forgotten Lab",Dark Roamer,Festering Toe,Your creatures have 3% more Speed for every 1% Health they're missing. This trait does not stack.
Delirious Ghoul,Ghoul,Death,31,26,6,16,26,105,13,"Path of the Damned, Forgotten Lab",Foot Eater,Delirious Toe,"After this creature Attacks, it steals 50% of the target's Speed."
Hysteria Ghoul,Ghoul,Death,31,26,6,16,26,105,30,"Path of the Damned, Forgotten Lab",Frenzy,Hysteria Toe,Your creatures dodge and deal critical damage as if they have 100% more Speed. This trait does not stack.
Maniacal Ghoul,Ghoul,Death,27,27,7,17,27,105,60,"Path of the Damned, Forgotten Lab",Grim Aura,Maniacal Toe,Your creatures' attacks deal additional damage equal to 25% of their Speed. This trait does not stack.
Frenzy Ghoul,Ghoul,Death,26,27,7,17,27,104,15,"Path of the Damned, Forgotten Lab",Horde,Frenzy Toe,Your creatures share 5% of their Speed with each other. This effect is not applied to creatures that have this trait. This trait does not stack.
Ghoul Ringleader,Ghoul,Death,32,17,18,18,18,103,415,Death Guild,Only For The Weak,Ringleader Toe,This creature deals 35% more damage with attacks and spells for every 100% Speed it has greater than its base amount.
Rapturous Ghoul,Ghoul,Death,32,27,7,14,27,107,45,"Path of the Damned, Forgotten Lab",Ravage,Rapturous Toe,This creature deals extra damage with attacks and spells equal to 50% of its Speed.
Stone Giant,Giant,Nature,42,22,12,22,12,110,15,"Titan's Wound, Forbidden Depths",Absorption,Stone Boulder,"After an enemy is healed, this creature gains Maximum Health equal to 30% of the amount healed."
Cosmic Giant,Giant,Nature,40,22,12,22,12,108,60,"Titan's Wound, Forbidden Depths",Admire the Gods,Cosmic Boulder,"When this creature takes damage, and the damage exceeds 25% of its Maximum Health, reduce the damage to 25% of its Maximum Health. The amount of damage prevented cannot exceed 200% of this creature's Maximum Health."
Giant Mangler,Giant,Nature,43,23,13,18,13,110,90,"Titan's Wound, Forbidden Depths",Boastful Protector,Mangler Boulder,"While this creature is Provoking, it has a 25% chance to avoid damage."
Jolly Old Giant,Giant,Nature,39,22,12,22,12,107,415,Nature Guild,"Ho Ho Oh, !@#$",Bag of Broken Toys,Creatures cannot gain stats until after their first turn.
Wall Giant,Giant,Nature,42,22,12,22,12,110,30,"Titan's Wound, Forbidden Depths",Hostile Vitality,Wall Boulder,"When this creature Attacks, it deals additional damage equal to 35% of its Current Health."
Mystical Giant,Giant,Nature,39,22,12,22,12,107,105,"Titan's Wound, Forbidden Depths",Pilgrimage,Mystical Boulder,"When this creature Casts a spell, 50% of its Current Health is added to its Intelligence to determine the spell's potency."
Sand Giant,Giant,Nature,43,23,13,18,13,110,10,"Titan's Wound, Forbidden Depths",Rapid Regeneration,Sand Boulder,"At the start of each creature's turn, this creature recovers 10% of its missing Health."
War Giant,Giant,Chaos,42,22,12,22,12,110,415,Chaos Guild,Reforged,War Boulder,"After your creatures are resurrected, they gain 50% Maximum Health. This trait does not stack."
Colossal Giant,Giant,Nature,40,20,13,23,13,109,75,"Titan's Wound, Forbidden Depths",Strength of the World,Colossal Boulder,"At the start of battle, this creature's Defense is added to its Maximum Health, then its Defense is set to its minimum value. In addition, this creature takes 50% less damage."
Tower Giant,Giant,Nature,43,22,12,22,12,111,45,"Titan's Wound, Forbidden Depths",Wreck,Tower Boulder,"When this creature Attacks, its damage is based on its Current Health instead of Attack."
Kapre,Godspawn,Nature,30,25,15,14,20,104,1,Apocranox God Shop (Favor Rank 20) + Project,Any Given Sin,Particle of Kapre,"After your creatures Attack, they are afflicted with Scorned. Your creatures' attacks deal 100% more damage. This trait does not stack."
The Lost,Godspawn,Chaos,36,21,16,16,16,105,55,Tartarith God Shop (Favor Rank 20) + Project,Beyond Oblivion,Particle of The Lost,This creature receives all effects that require it to be adjacent to your other creatures. This trait does not stack.
Walken,Godspawn,Death,34,19,19,19,19,110,37,Vertraag God Shop (Favor Rank 20) + Project,Closure,Particle of Walken,"At the end of this creature's turn, it gains 35% Current and Maximum Health and Provokes."
Aja Birku,Godspawn,Sorcery,32,17,17,20,17,103,4,Azural God Shop (Favor Rank 20) + Project,Dimensions,Particle of Aja Birku,"At the start of this creature's turn, it Casts 5 random spells, one from each class."
Ottum,Godspawn,Chaos,31,18,18,18,18,103,22,Vulcanar God Shop (Favor Rank 20) + Project,Elimination Process,Particle of Ottum,"After this creature Attacks, it deals 100% of that damage to the target."
Elqor,Godspawn,Sorcery,34,19,19,19,19,110,19,Zonte God Shop (Favor Rank 20) + Project,Empire,Particle of Elqor,"This creature's spells are 50% less potent, but it casts them 4 additional times."
Dikya,Godspawn,Life,34,19,18,18,18,107,43,Lister God Shop (Favor Rank 20) + Project,Eve,Particle of Dikya,"Your creatures' spells are 100% more potent, but only have 1 Charge. This trait does not stack."
Darksulker,Godspawn,Sorcery,33,18,18,18,18,105,52,Tenebris God Shop (Favor Rank 20) + Project,From Death to Destiny,Particle of Darksulker,This creature has additional stats equal to 50% of the stats of your dead creatures. This trait does not work with creatures who also have this trait.
Linta,Godspawn,Death,39,14,24,17,17,111,10,Mortem God Shop (Favor Rank 20) + Project,Great Expectations,Particle of Linta,Your creatures' spells are 125% more potent if they don't have any Spell Gems equipped. This trait does not stack.
Tisya,Godspawn,Death,34,19,19,19,19,110,13,Erebyss God Shop (Favor Rank 20) + Project,Heartrage,Particle of Tisya,"At the end of each creature's turn, this creature deals damage to a random enemy equal to 80% of its lowest stat."
Alakadan,Godspawn,Nature,33,18,18,18,18,105,34,Regalis God Shop (Favor Rank 20) + Project,Hopelessly Hopeful,Particle of Alakadan,"After this creature manually Casts a spell, it also Casts a random Avatar spell."
Yllor,Godspawn,Nature,35,20,18,18,18,109,16,Meraxis God Shop (Favor Rank 20) + Project,Iniquity,Particle of Yllor,"When this creature Attacks, it has a 100% chance to attack an additional time. This trait's effect can repeat multiple times in a row, but the chance decreases by 25% after each Attack."
Ugat,Godspawn,Nature,32,17,17,20,20,106,31,Torun God Shop (Favor Rank 20) + Project,Karma,Particle of Ugat,"After this creature Attacks or is damaged by an attack or spell, it gains 50% of its lowest stat."
Laglor,Godspawn,Life,34,19,19,19,19,110,46,Yseros God Shop (Favor Rank 20) + Project,Nostalgia,Particle of Laglor,"At the start of your creatures' turns, they Cast a random spell that belongs to their class. This trait does not stack."
Emlai,Godspawn,Life,33,18,18,18,18,105,25,Surathli God Shop (Favor Rank 20) + Project,Release the Cure,Particle of Emlai,"After this creature Attacks or is damaged by an attack or spell, it gains a random buff."
Kalasag,Godspawn,Sorcery,33,18,18,18,18,105,49,Aeolian God Shop (Favor Rank 20) + Project,Rescue Ride,Particle of Kalasag,"At the end of this creature's turn, it resurrects a random ally with 100% Health and gives it Shelled."
Mumu,Godspawn,Death,37,22,17,17,17,110,40,Friden God Shop (Favor Rank 20) + Project,Revolt,Particle of Mumu,"After this creature Attacks or takes damage from an attack or spell, it afflicts the enemy with a random debuff."
Iconus,Godspawn,Chaos,33,18,18,18,18,105,58,Gonfurian God Shop (Favor Rank 20) + Project,Silence Speaks,Particle of Iconus,"At the start of battle, this creature gains two of your other creatures' innate traits."
Diamant,Godspawn,Sorcery,22,20,25,20,15,102,28,Aurum God Shop (Favor Rank 20) + Project,Skyttels,Particle of Diamant,"At the start of battle, this creature gains copies of your other creatures' non-Ethereal Spell Gems. This trait does not work on creatures that also have this trait."
Tenbran,Godspawn,Life,29,22,22,17,17,107,61,Perdition God Shop (Favor Rank 20) + Project,To Move On Is To Grow,Particle of Tenbran,This creature's attacks deal 100% more damage if it Cast a spell last turn. This creature's spells deal 100% more damage if it Attacked last turn.
Noxpit,Godspawn,Chaos,33,18,18,18,18,105,7,Venedon God Shop (Favor Rank 20) + Project,Ultimate Sacrifice,Particle of Noxpit,"At the start of this creature's turn, its extra traits are removed and it gains 5 random traits."
Colg,Godspawn,Chaos,30,18,18,18,18,102,240,Defeat Caliban at the Gate of the Gods,What's Yours Is Mine,Particle of Colg,"At the start of battle, your creatures gain a random enemy's trait. This trait does not stack."
Adaxial,Godspawn,Death,40,15,18,18,18,109,64,Alexandria God Shop (Favor Rank 20) + Project,Tools of Creation,Particle of Adaxial,"At the start of battle, you gain access to 3 random perks. A description of these perks can be found in your battle history. This trait activates immediately before all other start-of-battle effects. This trait does not stack."
Akara,Godspawn,Nature,42,17,17,16,16,108,64,Ariamaki God Shop (Favor Rank 20) + Project,Darkbloom,Particle of Akara,"This creature's base stats are 20, plus 5 for each non-Ethereal Spell Gem it has equipped. The base stat that is increased by this trait is determined by the class of the Spell Gem. Only the first 8 Spell Gems are considered."
8004,Godspawn,Chaos,42,17,17,17,17,110,64,4080 God Shop (Favor Rank 20) + Project,Something From Nothing,Particle of 8004,"Your creatures deal 5% more damage with attacks and spells, and take 1% less damage (up to 90%) for each time this creature has taken damage in the current battle. This trait does not stack."
Emus,Godspawn,Life,42,17,17,17,17,110,64,Muse God Shop (Favor Rank 20) + Project,Fear of Success,Particle of Emus,This creature's attacks deal 75% more damage and afflict the target with Inverted.
Grom'met,Godspawn,Sorcery,42,17,17,17,17,110,64,T'mere M'rgo God Shop (Favor Rank 20) + Project,Echobreather,Particle of Grommet,"This creature deals 20% more damage with attacks and spells, and takes 10% less damage for each different creature class fighting on your side. This trait does not stack."
Nalas,Godspawn,Life,42,17,17,17,17,110,64,Shallan God Shop (Favor Rank 20) + Project,Oathbreaker,Particle of Nalas,Your creatures gain 100% more benefit from stat-increasing Realm Boosts. This trait does not stack.
Rengas,Godspawn,Chaos,42,17,17,17,17,110,64,Genaros God Shop (Favor Rank 20) + Project,Rodian Aftermath,Particle of Rengas,This creature deals 30% more damage with attacks and spells for each time each creature has died in the current battle.
Saurel,Godspawn,Death,40,17,17,17,17,108,64,Reclusa God Shop (Favor Rank 20) + Project,Syndicate,Particle of Saurel,"At the start of your Godspawn creatures' third turns, they transform into their corresponding Avatar."
Thana,Godspawn,Nature,40,18,18,18,18,112,64,Anneltha God Shop (Favor Rank 20) + Project,Negative Noise,Particle of Thana,"While this creature is at 100% Health, it has a 90% chance to avoid damage."
Treasure Golem,Golem,Sorcery,42,17,17,17,17,110,N/A,Rare Encounter,Animated Treasure,No Material Exists,"When this creature is Attacked, it drops some resources. This creature also tries to run away each turn."
Nightmare Golem,Golem,Death,40,18,18,18,18,112,105,"Frostbite Caverns, Temple of Lies, Forbidden Depths",Bad Dreams,Nightmare Cog,Each enemy has a 50% chance to start battles with Sleeping.
Magma Golem,Golem,Chaos,40,18,18,18,18,112,30 (1 for Pyromancer),"Frostbite Caverns, Temple of Lies, Forbidden Depths, Pyromancer Starter",Cataclysm,Magma Cog,"After this creature is Attacked, it afflicts enemies with Burning. If enemies already have this debuff, its potency is increased by 30% instead."
Gold Golem,Golem,Life,42,17,17,17,17,110,75,"Frostbite Caverns, Temple of Lies, Forbidden Depths",Chip Off the Block,Gold Cog,"After this creature is Attacked, your other creatures gain Attack, Intelligence, Defense, and Speed equal to 15% of this creature's stats."
War Golem,Golem,Chaos,40,17,17,17,17,108,120,"Frostbite Caverns, Temple of Lies, Forbidden Depths",Triple Take,War Cog,This creature Attacks and Casts spells 2 additional times.
Granite Golem,Golem,Sorcery,39,17,17,17,17,107,4,"Frostbite Caverns, Temple of Lies, Forbidden Depths",Embolden,Granite Cog,This creature has extra Defense equal to 50% of the creatures' Defense adjacent to it. This trait does not benefit from creatures that also have this trait.
Moss Golem,Golem,Nature,40,18,18,18,18,112,60,"Frostbite Caverns, Temple of Lies, Forbidden Depths",Mass Entanglement,Moss Cog,"After this creature Defends, each enemy has a 50% chance to be afflicted with Snared."
Haunted Golem,Golem,Death,42,17,17,17,17,110,90,"Frostbite Caverns, Temple of Lies, Forbidden Depths",Mechanical Illusion,Haunted Cog,"After this creature is killed, it reveals the creature that was haunting it."
Pumking,Golem,Sorcery,40,18,18,18,18,112,415,Chaos Guild,Pumpkin Spice,Giant Jack-o-lantern,"At the start of battle, your creatures swap their Maximum Health with their Defense."
Iron Golem,Golem,Sorcery,39,17,17,17,17,107,15,"Frostbite Caverns, Temple of Lies, Forbidden Depths",Self-Awareness,Iron Cog,Your Golems share their innate traits with each other.
Regal Golem,Golem,Life,42,17,17,17,17,110,45,"Frostbite Caverns, Temple of Lies, Forbidden Depths",Sense of Purpose,Regal Cog,"At the start of this creature's turn, your creatures recover 35% Health."
Mud Golem,Golem,Nature,42,17,17,17,17,110,135,"Frostbite Caverns, Temple of Lies, Forbidden Depths",Slop,Mud Cog,"After this creature is Attacked, enemies are afflicted with Blind. If enemies already have this debuff, it decreases their Speed by 20% instead."
Deranged Gorgon,Gorgon,Sorcery,27,20,20,15,20,102,34,"Bastion of the Void, Arachnid Nest",Blink,Deranged Snake,This creature's attacks deal 75% more damage and afflict the target with Stone.
Gorgon Gazer,Gorgon,Sorcery,32,22,22,12,17,105,34,"Bastion of the Void, Arachnid Nest",Deterioration,Gazer Snake,Enemy creatures deal 10% less damage with attacks and spells for each creature with Stone that is fighting on their side. This trait does not stack.
Gorgon Sorceress,Gorgon,Sorcery,32,20,20,15,20,107,34,"Bastion of the Void, Arachnid Nest",Eternal Jinx,Sorceress Snake,Enemies' Stone debuffs last forever. This creature deals 75% more damage to enemies with Stone.
Unhinged Gorgon,Gorgon,Sorcery,27,20,20,15,20,102,75,"Bastion of the Void, Arachnid Nest",Pulverizing Stare,Unhinged Snake,Enemy creatures take 50% more damage while they're afflicted with Stone. This trait does not stack.
Gorgon Witch,Gorgon,Sorcery,31,21,21,11,21,105,45,"Bastion of the Void, Arachnid Nest",Sealed Fate,Witch Snake,"When this creature Casts a single-target spell on an enemy, it deals 50% more damage and afflicts the target with Stone."
Medusa,Gorgon,Sorcery,28,21,21,16,21,107,60,"Bastion of the Void, Arachnid Nest",Steady Gaze,Medusa Snake,"When this creature takes damage from an attack or spell, it has a 50% chance to negate the damage and afflict the enemy with Stone."
Gorgon Trickster,Gorgon,Sorcery,30,20,20,18,20,108,90,"Bastion of the Void, Arachnid Nest",Treachery,Trickster Snake,"At the start of battle, this creature afflicts enemies with Stone."
Griffon Dreamfinder,Griffon,Life,26,21,16,16,26,105,49,"Unsullied Meadows, Fae Lands",All As One,Dreamfinder Beak,"After your Griffons receive a buff, they share a copy of that buff with all the Griffons fighting on your side. This trait does not stack."
Silverclaw Griffon,Griffon,Life,32,22,14,14,24,106,75,"Unsullied Meadows, Fae Lands",Colony,Silverclaw Beak,"After one of your other Griffons Defend, the rest of them Defend as well. This trait does not stack."
Razorfoot Griffon,Griffon,Life,28,20,15,15,25,103,60,"Unsullied Meadows, Fae Lands",Deafening Roar,Razorfoot Beak,Your Griffons deal 10% more damage for each Griffon fighting on your side. This trait does not stack.
Griffon Veteran,Griffon,Life,27,22,22,17,17,105,415,Life Guild,Gumption,Veteran Beak,"When this creature would take fatal damage, it has a 50% chance to be left with 1 Health instead."
Assault Griffon,Griffon,Life,30,20,15,15,25,105,49,"Unsullied Meadows, Fae Lands",Heavy Repercussions,Assault Beak,"At the end of this creature's turn, it has a 7% chance to take another turn for each Griffon fighting on your side."
Griffon Divebomber,Griffon,Life,26,21,16,16,26,105,49,"Unsullied Meadows, Fae Lands",Impending Victory,Divebomber Beak,"After one of your Griffons Attack, this creature Attacks a random enemy. This trait does not activate if the attacking Griffon also has this trait."
Griffon Screecher,Griffon,Life,30,20,15,15,25,105,49,"Unsullied Meadows, Fae Lands",Impunity,Screecher Beak,Your Griffons take 5% less damage for each Griffon fighting on your side. This trait does not stack.
Griffon Archer,Griffon,Life,29,20,15,15,25,104,90,"Unsullied Meadows, Fae Lands",Volley,Archer Break,Your Griffons have an independent 20% chance to deal critical damage with attacks for each Griffon fighting on your side. This trait does not stack.
Pyro Grimoire,Grimoire,Sorcery,24,12,27,17,22,102,90,Refuge of the Magi (Bookshelves),Book of the Arsonist,Pyro Parchment,This creature's spells that apply the Burning debuff deal 30% more damage. Enemies' Burning debuffs applied by this creature also deal 30% more damage.
Necro Grimoire,Grimoire,Sorcery,27,12,27,17,22,105,30,Refuge of the Magi (Bookshelves),Book of the Dead,Necro Parchment,"At the start of battle, this creature Casts its first 2 non-Ethereal Spell Gems that summon minions."
Ancient Grimoire,Grimoire,Sorcery,27,12,27,17,22,105,45,Refuge of the Magi (Bookshelves),Book of the Elder,Ancient Parchment,Your Grimoire creatures share copies of their first 2 equipped Spell Gems with each other. This trait does not stack.
Forbidden Grimoire,Grimoire,Sorcery,25,10,27,17,22,101,19,Refuge of the Magi (Bookshelves),Book of the Heretic,Forbidden Parchment,This creature's spells are 100% more potent but have a 25% chance to fizzle.
Faded Grimoire,Grimoire,Sorcery,27,12,27,17,22,105,60,Refuge of the Magi (Bookshelves),Book of the Lost,Faded Parchment,"When an enemy manually Casts a spell that is currently equipped by this creature, the spell has a 40% chance to fizzle and this creature Casts it instead."
Runic Grimoire,Grimoire,Sorcery,27,12,27,17,22,105,19,Refuge of the Magi (Bookshelves),Book of the Warlock,Runic Parchment,"Your creatures start battles with Arcane. At the end of your creatures' turns, they have a 30% chance to gain Arcane."
Eldritch Grimoire,Grimoire,Sorcery,25,10,25,18,23,101,415,Chaos Guild,Eldritch Essence,Eldritch Pumpkin,"When one of your other creatures dies, this creature Casts one of their spells twice."
Hidden Grimoire,Grimoire,Sorcery,27,12,27,17,22,105,75,Refuge of the Magi (Bookshelves),Lost Knowledge,Hidden Parchment,Your Grimoires Cast spells 1 additional time. This trait does not stack.
Benthic Guardian,Guardian,Nature,40,10,20,30,10,110,19 (1 for Mermaid),Mermaid Specialization & Starter,Gentle Giant,Immovable Shell,"At the start of battle, this creature's class changes to that of the creature to its left and gains a copy of the Fused trait of the creature to its right. This creature cannot deal direct damage with attacks or spells, but its spell potency is based on its Defense."
Harpy Marauder,Harpy,Chaos,32,22,17,12,22,105,90,"Unsullied Meadows, Cutthroat Jungle",Bad Omen,Marauder Crest,Enemies start battles with Blind.
Harpy Queen,Harpy,Chaos,33,23,18,13,18,105,75,"Unsullied Meadows, Cutthroat Jungle",BRAAAAWK!,Queen Crest,"At the end of each enemy's turn, this creature has a 50% chance to Cast a random spell."
Harpy Pillager,Harpy,Chaos,29,22,17,17,22,107,31,"Unsullied Meadows, Cutthroat Jungle",CAWW!,Pillager Crest,"When an enemy Attacks one of your creatures, its target is chosen at random from your other creatures."
Harpy Torturer,Harpy,Chaos,31,21,16,15,21,104,45,"Unsullied Meadows, Cutthroat Jungle",CURUKUKU!!,Torturer Crest,"When an enemy attempts to Cast a single-target spell on any other creature, they have a 50% chance to target themselves instead."
Harpy Eyegouger,Harpy,Chaos,31,21,16,16,21,105,31,"Unsullied Meadows, Cutthroat Jungle",KRAAW!!!,Eyegouger Crest,This creature's attacks deal 75% more damage and afflict Blind.
Malice Harpy,Harpy,Death,31,21,21,11,21,105,415,Death Guild,Red Wedding,Malice Crest,"At the start of battle, 3 of your creatures are killed. This trait does not stack."
Harpy Hag,Harpy,Chaos,32,21,16,16,21,106,60,"Unsullied Meadows, Cutthroat Jungle",SCRAAAW!,Hag Crest,"When enemies Defend or Provoke, this creature has a 50% chance to prevent this from happening."
Harpy Screamer,Harpy,Chaos,28,21,16,16,21,102,31,"Unsullied Meadows, Cutthroat Jungle",SKREEE!!,Screamer Crest,"At the start of each enemy's turn, this creature has a 20% chance to afflict it with Confused."
Lunar Hemomancer,Hemomancer,Death,34,24,14,14,19,105,10,Mortem God Shop (Favor Rank 8),Abation,Lunar Blood vial,"After this creature Attacks, it steals 20% of the target's Attack and Intelligence and gives it to your creatures."
Mutant Hemomancer,Hemomancer,Death,31,21,17,17,22,108,10,Mortem God Shop (Favor Rank 5),Depression,Mutant Blood Vial,"After this creature Attacks, it steals 20% of the target's Defense and gives it to your creatures."
Hemomancer Donor,Hemomancer,Death,34,24,14,14,19,105,10,Mortem God Shop (Favor Rank 14),From Hero to Zero,Donor Blood Vial,"After this creature Attacks, it removes the target's traits that it didn't start with in battle and gives them to your creatures."
Hemomancer Lord,Hemomancer,Death,33,23,13,16,21,106,10,Mortem God Shop (Favor Rank 1),Heartstopper,Lord Blood Vial,"After this creature Attacks, it steals 20% of the target's Speed and gives it to your creatures."
Hemomancer Seer,Hemomancer,Death,34,24,14,14,19,105,10,Mortem God Shop (Favor Rank 18),Mind Eraser,Seer Blood Vial,"After this creature Attacks, it Seals one of the target's Spell Gems and gives a copy of it to your creatures."
Hemomancer Devourer,Hemomancer,Death,34,24,14,14,19,105,10,Mortem God Shop (Favor Rank 11),World Domination,Devourer Blood Vial,Your Hemomancers' innate traits now activate when they are Attacked as well.
Herbling,Herbling,Nature,40,25,25,25,25,140,19,Grovetender Specialization,Photomorphogenesis,No Material Exists,"After this creature Attacks, it gains 5% Attack. After this creature Casts a spell, it gains 5% Intelligence. After this creature Defends, it gains 5% Defense. After this creature Provokes, it gains 5% Speed."
Blood Hound,Hound,Death,30,20,20,15,20,105,45,"Blood Grove, Kingdom of Heretics, Overgrown Temple",Blood Thirst,Blood Collar,Your creatures can have 5 additional stacks of Dire Wolves. This trait does not stack.
Thylacine,Hound,Death,30,20,20,15,20,105,945,Defeat all Nether Bosses 5 times,Eye of the Thylacine,No Material Exists,"After this creature Attacks or Casts a spell, your Godspawn creatures perform the same action. Your creatures deal 95% less damage."
Horror Hound,Hound,Death,33,20,20,15,20,108,60,"Blood Grove, Kingdom of Heretics, Overgrown Temple",Fingertip Nip,Horror Collar,Your creatures' Dire Wolves deal additional damage equal to 20% of their master's Attack. This trait does not stack.
Hell Hound,Hound,Death,29,19,19,16,21,104,75,"Blood Grove, Kingdom of Heretics, Overgrown Temple",Hound Legion,Hell Collar,Your creatures' Dire Wolves will never go away.
Terror Hound,Hound,Death,30,20,20,15,20,105,1,"Blood Grove, Kingdom of Heretics, Overgrown Temple",Nature of the Beast,Terror Collar,Your creatures start battles with 3 stacks of Dire Wolves. This trait does not stack.
Dread Hound,Hound,Death,30,20,20,15,20,105,15 (1 for Necromancer),"Blood Grove, Kingdom of Heretics, Overgrown Temple, Necromancer Starter",Summon the Pack,Dread Collar,"At the start of your creatures' turns, they gain 1 stack of Dire Wolves. This trait does not stack."
Bone Hound,Hound,Death,32,22,19,14,19,106,90,"Blood Grove, Kingdom of Heretics, Overgrown Temple",Uncharted,Bone Collar,Your Hounds deal 5% more damage for each stack of Dire Wolves each of your creatures have. This trait does not stack.
Panic Hound,Hound,Death,30,20,20,12,20,102,30,"Blood Grove, Kingdom of Heretics, Overgrown Temple",Vicious Bite,Panic Collar,Your creatures deal 2% more damage for each stack of Dire Wolves each of your creatures have. This trait does not stack.
Hunter Director,Hunter,Nature,25,20,20,10,25,100,60,The Swamplands (Hunter's Lodge),Director's Cut,Director Glaive,"After this creature Attacks, it deals damage to a random enemy equal to 70% of the attack's damage. This effect repeats once for each Hunter fighting on your side."
Silent Hunter,Hunter,Nature,25,20,20,10,25,100,105,The Swamplands (Hunter's Lodge),Glaive of Destruction,Silent Glaive,"After this creature Attacks, it deals damage to a random enemy equal to 20% of its Current Health. This effect repeats once for each Hunter fighting on your side."
Light Hunter,Hunter,Nature,26,21,21,11,26,105,16,The Swamplands (Hunter's Lodge),Glaive of Hungering,Light Glaive,"After this creature Attacks, it deals damage to a random enemy equal to 35% of the attack's damage and heals itself for 100% of this damage. This effect repeats once for each Hunter fighting on your side."
Heretic Hunter,Hunter,Nature,25,20,20,10,25,100,75,The Swamplands (Hunter's Lodge),Glaive of Justice,Heretic Glaive,"After this creature Attacks, it deals damage to a random enemy equal to 35% of the attack's damage and has a 50% chance to Cast Holy Smite. This effect repeats once for each Hunter fighting on your side."
Hunter Scout,Hunter,Nature,27,21,21,11,26,106,90,The Swamplands (Hunter's Lodge),Glaive of Power,Scout Glaive,"After this creature Attacks, it deals damage to a random enemy equal to 35% of the attack's damage and gains 15% of its lowest stat. This effect repeats once for each Hunter fighting on your side."
Faith Hunter,Hunter,Nature,21,16,23,13,28,101,45,The Swamplands (Hunter's Lodge),Glaive of Prayer,Faith Glaive,"After this creature Attacks, it deals damage to a random enemy equal to 35% of the attack's damage and has a 20% chance to resurrect a random ally with 40% Health. This effect repeats once for each Hunter fighting on your side."
Servant Hunter,Hunter,Nature,26,21,21,11,26,105,16,The Swamplands (Hunter's Lodge),Hunter's Season,Servant Glaive,"After this creature Attacks, it deals damage to a random enemy equal to 35% of the attack's damage and afflicts them with Poisoned. This effect repeats once for each Hunter fighting on your side."
Moon Hunter,Hunter,Nature,25,20,20,10,25,100,30,The Swamplands (Hunter's Lodge),Razorsharp,Moon Glaive,"After this creature Attacks, it deals damage to a random enemy equal to 35% of the attack's damage, with a 40% chance to deal 100% of the attack's damage. This effect repeats once for each Hunter fighting on your side."
Silver Imler,Imler,Nature,39,27,7,27,7,107,60,The Swamplands (Im Cave),Devotion,Silver Ore,"If you only have one Imler and one Imling fighting on your side, both creatures take 65% less damage. This trait does not stack."
Redstone Imler,Imler,Nature,40,28,8,28,8,112,16,The Swamplands (Im Cave),Lead By Example,Redstone Ore,"Your Imlings gain 25% of the Attack, Intelligence, Defense, and Speed bonuses from this creature's Artifact."
Boulder Imler,Imler,Nature,43,28,7,27,7,112,30,The Swamplands (Im Cave),Next Generation,Boulder Ore,"After this creature dies, it grants 30% of its Attack, Intelligence, Defense, Speed, and its innate trait to your Imlings."
Marble Imler,Imler,Nature,36,28,8,28,8,108,90,The Swamplands (Im Cave),Nothing to Lose,Marble Ore,"After one of your Imlings dies, this creature Attacks random enemies 5 times."
Sandstone Imler,Imler,Nature,43,27,7,27,7,111,16,The Swamplands (Im Cave),Patriarchy,Sandstone Ore,This creature takes all damage from attacks and spells in place of your Imlings.
